Country,nacanual,anticoncep,abort,anemia,atnprenat,partoasit,vihsida,infecun,nacpormuj,muertes,calif
Italia,1,78,1,10,100,100,1,6,1.2,4,6.6
Dinamarca,1,78,1,8,100,99,1,6,1.8,3,6.7
Noruega,2,76,1,17,95,100,1,5,1.8,3,8.1
Suecia,1,78,1,17,100,100,1,5,2.0,5,8.4
Bélgica,1,79,1,17,90,100,1,7,1.6,3,8.7
Países Bajos,1,76,1,18,95,100,1,5,1.6,10,10.0
Francia,1,81,1,18,99,94,1,6,1.7,9,10.1
Australia,2,76,2,20,100,99,1,5,1.9,5,10.3
Singapur,1,74,1,18,95,100,1,5,1.8,10,10.4
Canadá,3,73,1,20,100,100,1,7,1.8,5,10.6
Finlandia,1,80,2,17,100,100,1,5,1.8,11,10.6
Austria,2,71,1,17,96,96,1,5,1.5,8,10.7
Reino Unido,3,81,2,19,98,98,1,6,1.8,8,11.8
República Checa,5,69,1,23,100,100,1,4,1.7,10,11.8
Japón,0,64,2,20,99,100,1,6,1.5,11,12.4
Taiwan,2,75,2,37,99,100,1,5,1.7,9,12.9
Hong Kong,1,86,3,37,99,99,1,5,1.2,4,13.0
EEUU,6,71,1,17,95,99,1,6,2.1,7,13.0
España,1,59,3,9,96,96,1,4,1.2,5,13.7
Alemania,1,75,3,12,99,100,1,5,1.3,11,14.1
Suiza,1,71,3,17,,99,1,5,1.5,4,14.3
Eslovaquia,4,67,1,40,100,100,1,5,1.9,10,14.4
Bulgaria,6,76,1,40,100,100,1,6,1.5,12,14.5
Hungría,4,73,2,40,100,99,1,5,1.7,13,15.1
Polonia,3,75,3,16,99,99,1,3,2.1,11,15.1
Portugal,3,66,3,17,96,98,1,5,1.5,10,16.5
China,2,83,1,37,98,94,1,5,2.0,95,16.8
Corea del Norte,1,67,1,37,100,100,1,2,2.4,130,17.0
Israel,2,65,3,25,90,99,1,6,2.9,3,17.1
Nueva Zelanda,4,70,3,22,95,100,1,5,2.1,13,18.2
Yugoslavia,4,55,1,40,100,86,1,5,2.0,18,18.2
Cuba,9,70,1,34,99,100,1,6,1.8,36,18.5
Coreal del Sur,1,79,3,37,89,89,1,2,1.6,32,19.1
Rumania,4,57,1,40,100,99,1,6,1.4,149,20.8
Costa Rica,9,75,3,28,91,97,1,2,3.2,18,21.3
Albania,1,10,1,40,100,99,1,5,3.0,30,22.2
Mongolia,4,38,1,26,100,99,1,5,4.5,140,22.9
Uruguay,6,72,3,37,80,96,1,3,2.4,36,23.7
Vietnam,2,53,1,63,73,90,1,2,3.7,120,25.7
Argentina,6,66,3,37,90,92,1,3,2.9,140,26.9
Malasia,3,48,3,34,75,92,1,4,3.6,59,27.8
Chile,6,43,5,21,91,98,1,3,2.5,67,27.9
Tunez,2,50,1,38,58,68,1,7,3.3,127,29.8
Sri Lanka,3,62,5,62,86,94,1,4,2.5,80,31.0
Jordania,5,40,3,50,76,87,1,3,5.6,40,31.0
Turquía,4,63,1,74,43,76,1,2,3.5,146,31.5
Jamaica,9,67,3,62,95,90,1,7,2.9,115,31.6
Colombia,7,66,5,24,80,71,1,2,2.7,200,32.2
Brasil,8,66,4,34,74,73,1,2,3.0,200,33.1
Tailandia,5,66,3,52,77,66,2,2,2.2,37,33.2
Arabia Saudita,12,14,3,31,86,90,1,3,5.5,41,33.4
Venezuela,10,49,5,29,74,97,1,2,3.6,200,34.2
Panamá,9,58,3,42,72,84,2,3,2.9,60,35.3
Sudafrica,7,50,3,37,84,86,2,5,3.8,84,35.7
Líbano,3,55,5,50,85,45,1,3,2.9,128,36.2
Filipinas,3,40,5,48,77,55,1,2,4.1,74,36.2
Perú,6,59,3,53,64,60,1,3,3.5,300,36.9
México,8,53,4,41,60,69,1,3,3.2,200,37.5
Ecuador,8,53,3,46,52,84,1,5,3.8,300,37.6
Omán,12,9,5,50,79,75,1,3,6.9,7,37.8
Iraq,5,14,3,50,65,74,1,3,5.7,117,38.3
India,6,41,2,88,49,70,1,3,3.4,420,39.5
Argelia,3,47,3,42,58,15,1,3,4.2,129,39.6
Nicaragua,15,49,5,42,92,73,1,3,4.6,300,40.0
Paraguay,9,48,5,63,84,66,1,3,4.4,300,41.2
El Salvador,13,53,3,42,34,66,1,2,3.9,300,41.4
Libia,11,14,5,53,76,76,1,3,6.4,80,42.1
Egipto,7,47,3,47,53,34,1,4,3.9,266,42.2
Bolivia,8,30,3,25,45,55,1,3,4.8,600,42.4
República Dominicana,9,56,5,52,97,72,2,5,3.3,300,42.8
Irán,9,38,5,50,47,70,1,3,6.0,120,42.9
Marruecos,4,42,3,46,34,31,1,3,4.0,327,43.4
Indonesia,6,55,5,74,76,40,1,7,2.9,400,45.6
Siria,11,20,5,52,60,61,1,3,6.2,143,45.7
Zimbabwe,10,43,3,47,92,69,3,10,5.0,77,46.3
Myanmar,3,46,5,58,75,57,2,5,3.8,460,46.9
Sudán,9,9,4,36,70,69,1,9,6.1,550,47.2
Honduras,13,47,5,42,45,81,2,3,5.2,221,47.7
Papua Nueva Guinea,2,5,3,75,68,43,1,5,5.4,700,48.0
Guatemala,12,23,5,42,34,51,1,3,5.4,300,49.7
Benin,15,9,5,55,64,45,1,3,7.1,161,50.5
Bangladesh,13,40,2,51,12,7,1,4,4.4,650,50.6
Pakistán,6,12,3,57,27,35,1,4,6.1,600,51.4
Camboya,13,44,5,63,100,47,2,5,5.3,800,51.8
Madagascar,16,17,5,47,78,58,1,10,6.1,570,52.1
Ghana,13,13,3,64,82,59,2,3,6.0,1000,52.1
Laos,5,18,5,62,,20,1,5,6.3,300,52.4
Zambia,14,15,2,47,92,51,3,14,6.5,151,52.6
Camerún,14,16,3,54,79,64,2,12,5.8,430,53.9
Yemen,10,10,5,50,26,16,1,2,7.6,330,55.7
Rwanda,6,21,3,47,80,22,3,10,6.2,300,56.0
Togo,13,12,5,47,81,42,2,10,6.6,420,57.2
Malawi,17,13,3,49,78,50,3,10,6.7,167,57.9
Burundi,6,9,3,68,80,19,3,3,6.7,800,58.3
Senegal,16,7,5,55,21,40,1,4,6.0,933,59.3
Kenya,14,33,5,57,77,45,3,7,5.4,500,59.4
Nepal,10,23,3,75,9,6,1,6,5.5,850,59.9
Guinea,24,5,3,56,36,25,1,6,6.0,800,60.7
Mauritania,13,3,5,56,26,20,1,6,6.5,800,61.3
Liberia,23,6,3,78,50,58,2,4,6.8,600,61.4
Nigeria,15,6,5,43,57,37,2,8,6.5,800,61.5
Haití,5,10,5,64,52,40,3,7,5.8,600,62.3
Tanzania,13,10,5,80,90,53,3,10,6.3,342,62.5
Uganda,22,5,3,47,86,38,3,10,7.4,550,63.4
Burkina Faso,17,8,3,56,49,41,3,6,6.9,810,63.8
Sierra Leona,21,12,3,45,30,25,2,10,6.5,450,64.4
Mozambique,13,12,5,58,50,25,2,14,6.5,300,64.6
Afganistán,15,2,5,75,8,8,1,5,6.9,640,66.3
República Centroafricana,16,16,5,67,69,66,3,17,5.7,600,66.9
Etiopía,17,4,3,47,20,10,2,10,6.9,900,67.7
Chad,19,20,5,54,30,15,2,11,5.9,710,68.9
Costa de Marfil,23,3,5,56,66,40,3,10,7.4,680,70.0
Níger,22,4,5,47,30,15,2,9,7.4,700,70.3
Malí,20,5,5,65,31,27,2,8,7.1,1750,71.1
Congo,15,15,3,54,35,,3,21,5.5,900,72.1
Somalia,21,5,5,73,2,2,1,10,7.0,1100,72.8
Angola,24,2,5,54,25,15,2,12,6.6,650,73.5
Zaire,23,8,5,76,90,,3,21,6.7,800,76.5
